,url
0,https://www.indiana.edu
1,https://luddy.indiana.edu/about/index.html
2,https://luddy.indiana.edu/about/vision-mission.html
3,https://luddy.indiana.edu/about/leadership.html
4,https://luddy.indiana.edu/about/diversity/index.html
5,https://luddy.indiana.edu/about/diversity/lodi.html
6,https://luddy.indiana.edu/about/diversity/d-i-task-force.html
7,https://luddy.indiana.edu/about/advisory-council.html
8,https://luddy.indiana.edu/about/facilities/index.html
9,https://luddy.indiana.edu/about/faculty-openings.html
10,https://luddy.indiana.edu/about/fred-luddy.html
11,https://luddy.indiana.edu/admissions/index.html
12,https://luddy.indiana.edu/admissions/apply/index.html
13,https://luddy.indiana.edu/admissions/apply/freshmen.html
14,https://luddy.indiana.edu/admissions/apply/transfer.html
15,https://luddy.indiana.edu/admissions/apply/returning.html
16,https://luddy.indiana.edu/admissions/apply/change-declare-major.html
17,https://luddy.indiana.edu/admissions/direct-admission/index.html
18,https://luddy.indiana.edu/admissions/direct-admission/direct-admit-scholarships.html
19,https://luddy.indiana.edu/admissions/plan-visit.html
20,https://luddy.indiana.edu/admissions/cost-fin-aid.html
21,https://luddy.indiana.edu/admissions/scholarships/index.html
22,https://luddy.indiana.edu/admissions/living-learning-center.html
23,https://luddy.indiana.edu/admissions/student-ambassadors.html
24,https://luddy.indiana.edu/academics/index.html
25,https://luddy.indiana.edu/academics/undergraduate-programs/index.html
26,https://luddy.indiana.edu/academics/grad-programs/index.html
27,https://luddy.indiana.edu/academics/grad-programs/doctoral.html
28,https://luddy.indiana.edu/academics/grad-programs/minors/index.html
29,https://luddy.indiana.edu/academics/grad-programs/masters.html
30,https://luddy.indiana.edu/academics/grad-programs/certificates.html
31,https://luddy.indiana.edu/academics/grad-programs/specialist.html
32,https://luddy.indiana.edu/academics/grad-programs/training-grants/index.html
33,https://luddy.indiana.edu/academics/grad-programs/graduate-forms/index.html
34,https://luddy.indiana.edu/academics/grad-programs/graduate-forms/graduation-application-form.html
35,https://luddy.indiana.edu/academics/departments/index.html
36,https://luddy.indiana.edu/academics/courses/index.html
37,https://luddy.indiana.edu/academics/advising.html
38,https://luddy.indiana.edu/academics/international.html
39,https://luddy.indiana.edu/academics/academic-opportunities.html
40,https://luddy.indiana.edu/academics/innovation-entrepreneurship/index.html
41,https://luddy.indiana.edu/academics/innovation-entrepreneurship/gt-idea.html
42,https://luddy.indiana.edu/student-life/index.html
43,https://luddy.indiana.edu/student-life/student-organizations.html
44,https://luddy.indiana.edu/student-life/pacesetters.html
45,https://luddy.indiana.edu/student-life/summer-camp.html
46,https://luddy.indiana.edu/student-life/student-recognition-celebration.html
47,https://luddy.indiana.edu/research/index.html
48,https://luddy.indiana.edu/research/faculty-directory.html
49,https://luddy.indiana.edu/research/centers/index.html
